plant,axis,metamer,organ,element,nitrates,starch,amino_acids,proteins,Nstruct,mstruct,fructan,sucrose,green_area,cytokinins,triosesP,Ag,Tr,Ts,is_growing,senesced_mstruct
1,MS,8,sheath,StemElement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0
1,MS,8,internode,StemElement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0
1,MS,9,blade,LeafElement1,0,0,9.89E+00,98.91818182,2.81E-04,0.05616,0,3.75E+02,1.49E-03,2.5,0,0,0,18,FALSE,0
1,MS,9,internode,HiddenElement,0,0,5.02E+00,50.18928571,6.58E-04,1.32E-01,0,9.96E+02,0.0001,0.1,0,0,0,18,FALSE,0
1,MS,9,sheath,StemElement,0,0,5.05E+00,50.52305195,5.10E-04,0.10204,0,7.38E+02,0.0002,0.15,0,0,0,18,FALSE,0
1,MS,10,blade,LeafElement1,0,0,2.49E+01,248.8909091,5.62E-04,0.11232,0,7.89E+02,2.75E-03,3.5,0,0,0,18,FALSE,0
1,MS,10,internode,HiddenElement,0,0,5.02E+00,50.18928571,6.58E-04,1.32E-01,0,9.96E+02,0.00025,0.1,0,0,0,18,FALSE,0
1,MS,10,sheath,StemElement,0,0,5.05E+00,50.52305195,5.10E-04,0.10204,0,7.38E+02,0.0004,0.15,0,0,0,18,FALSE,0
1,MS,11,blade,LeafElement1,0,0,2.62E+01,261.9753247,6.14E-04,0.12272,0,1.01E+03,3.14E-03,8,0,0,0,18,FALSE,0
1,MS,11,internode,HiddenElement,0,0,2.51E+00,25.09464286,3.29E-04,6.58E-02,0,4.98E+02,0.0004,0.15,0,0,0,18,FALSE,0
1,MS,11,internode,StemElement,0,0,2.51E+00,25.09464286,3.29E-04,6.58E-02,0,4.98E+02,0,0,0,0,0,0,FALSE,0
1,MS,11,sheath,StemElement,0,0,5.05E+00,50.52305195,5.10E-04,0.10204,0,7.38E+02,0.0005,0.2,0,0,0,18,FALSE,0
1,MS,12,blade,LeafElement1,0,0,2.43E+01,242.5090909,4.37E-04,0.08736,0,7.77E+02,2.69E-03,15,0,0,0,18,FALSE,0
1,MS,12,internode,HiddenElement,0,0,2.51E+00,25.09464286,3.29E-04,6.58E-02,0,4.98E+02,0.0004,0.5,0,0,0,18,FALSE,0
1,MS,12,internode,StemElement,0,0,2.51E+00,25.09464286,3.29E-04,6.58E-02,0,4.98E+02,0.00008,0.5,0,0,0,18,FALSE,0
1,MS,12,sheath,StemElement,0,0,5.05E+00,50.52305195,5.10E-04,0.10204,0,7.38E+02,0.0006,0.5,0,0,0,18,FALSE,0
1,MS,13,peduncle,HiddenElement,0,0,0,0,0,0,0,0.00E+00,0,0.7,0,0,0,18,FALSE,0
1,MS,13,peduncle,StemElement,0,0,0,0,0,0,0,0,0,0.85,0,0,0,18,FALSE,0
1,MS,14,ear,StemElement,0,0,2.24E+01,2.24E+02,7.67E-04,1.53E-01,0,1.60E+00,0.0015,15,0,0,0,18,FALSE,0
